,name,id,lat,lng,userscount,visitscount,checkinscount,tipcount,zipcode
193,Joe's Shanghai 鹿鸣春,3fd66200f964a520bfe71ee3,40.762981662880975,-73.9758833920851,13930,20436,14630,211,10019
194,Kung Fu Little Steamed Buns Ramen,52b782a6498ee2a8438f4150,40.76159729016552,-73.98656783215048,6088,9037,4950,142,10019
195,Panda Express,57bdfbb4498e68c4b71697da,40.761017128295435,-73.99083090318739,562,981,646,7,10036
196,Chaan Teng,58267d7eb4f96246b74368b5,40.76218296501885,-73.98984588380407,711,865,379,3,10036
197,Dim Sum Palace,5953ea99f4b52556d6b64cc7,40.76252409672259,-73.97700765162283,171,197,126,4,10019
198,Ollie's Sichuan Restaurant,4aa707ccf964a520d84b20e3,40.75869555247971,-73.99322083968677,4298,6336,4344,53,10036
199,Shun Lee,4aa834b7f964a5200e5020e3,40.77270074253027,-73.98154231629059,3404,5055,4619,60,10023
200,Tasty Hand-Pulled Noodles II,55da5c5d498ea579b2923db6,40.76063191503683,-73.99101904180245,569,955,730,7,10036
201,Manting Chinese Famous Foods,556f5220498e875eca7b9c7a,40.76019318484058,-73.98314074118191,446,890,703,3,10019
202,Szechuan Gourmet,4b4939abf964a520a26a26e3,40.76580744844261,-73.98292171007884,1572,2495,2072,39,10019
203,Hunan House Manhattan,53909c80498ea85cdddabcca,40.763152361299426,-73.9765159651012,453,750,628,4,10019
204,La Salle Dumpling Room,5960214035d3fc3e620ea646,40.772954,-73.989335,52,90,58,0,10023
205,China Gourmet,4ad34ef5f964a520b9e320e3,40.7638459000745,-73.98505443709347,692,1943,1724,11,10019
206,Tang Pavilion,4b315e9bf964a520980525e3,40.76282779339493,-73.97729519288663,1295,1690,1432,16,10019
207,Lili's 57,4a304695f964a52044991fe3,40.76534781354432,-73.98013219574734,1485,2810,2557,33,10019
208,Kung Fu Kitchen,58f24fb30868a239e6757850,40.7614,-73.98698,48,54,53,0,10019
209,Mee Noodle Shop,4a652f71f964a5206cc71fe3,40.76535010393585,-73.9876721216885,1887,3351,3259,65,10019
210,Yumpling,59c151044b78c507e05447c9,40.764990865324066,-73.98223675697439,9,11,11,0,10019
211,Nanjing,5909fb755f68b97039deda86,40.762626,-73.984948,30,32,30,0,10019
212,Chinese Culinary Competition,4ca4b82bf832a1cdc266a8e5,40.75884,-73.985102,6,10,10,0,10001
213,Ocean Dragon Chinese,4b5f371cf964a520d3ad29e3,40.769351176581246,-73.98841359073752,247,793,762,4,10019
214,Chi at The Plaza,54da3b2f498ecfe2929e9dbc,40.76439503612512,-73.97447724411876,62,92,90,0,10019
215,AA Jing,4a957d36f964a520652320e3,40.76191189992124,-73.99009104537538,1324,2245,2189,35,10036
216,Hing Won,4a537bb9f964a52054b21fe3,40.7583235037965,-73.9800829749137,1273,4052,3430,40,10036
217,Manting Chinese Famous Foods,556f5220498e875eca7b9c7a,40.76019318484058,-73.98314074118191,446,890,703,3,10019
218,Wu Liang Ye,3fd66200f964a520b4ea1ee3,40.758176633373814,-73.97968519480331,1955,2705,2597,41,10036
219,Yumpling,59c151044b78c507e05447c9,40.764990865324066,-73.98223675697439,9,11,11,0,10019
