,neighborhood,lat,lng,subway,competitors,rating,review_count,price,rent,half-mile_sub_count,unsupervised_score
202,202,40.75515229210527,-73.69702189578948,0,0,0.0,0.0,0.0,35.6875,0,0.0018853219753603321
203,203,40.87770628625,-73.84238493024999,4,0,0.0,0.0,0.0,33.11,2,0.010063394192395728
204,204,40.60223390710527,-74.07983506473684,3,0,0.0,0.0,0.0,7.5,1,0.001259112089596396
205,205,40.766691983825496,-73.96799229741609,20,1,3.5,311.5,2.5,75.0,32,0.004821205692271327
206,206,40.83232632846154,-74.24543575615384,0,0,0.0,0.0,0.0,47.080000000000005,0,0.003246553719499439
207,207,40.97736239066667,-74.02353139733333,0,0,0.0,0.0,0.0,71.3125,0,0.002858269540960348
208,208,40.79240828550724,-74.15019268652173,0,1,0.0,0.0,0.0,47.080000000000005,0,0.0034297421068768875
209,209,40.65024103245901,-73.88213746557378,0,1,0.0,0.0,0.0,29.0,0,0.006882002248710434
210,210,40.62608591333333,-73.96518579869918,18,2,0.0,0.0,0.0,60.0,5,0.0057893753564880295
211,211,40.67427196940477,-73.89558152904762,25,0,0.0,0.0,0.0,18.0,15,0.0023628720435894274
212,212,40.69176881375913,-73.98532294010948,48,2,3.8,215.0,1.2,55.0,53,0.0015120302433580812
213,213,40.81547473252632,-74.21702309357894,0,0,0.0,0.0,0.0,47.080000000000005,0,0.0028027178530513693
214,214,40.85540821711864,-74.06941110203391,0,0,0.0,0.0,0.0,58.696666666666665,0,0.006824699784427054
215,215,40.86498922186046,-73.96508680953487,0,0,0.0,0.0,0.0,45.91,0,0.007912272603098175
216,216,40.76049400894273,-73.9150854560793,8,2,3.357142857142857,38.42857142857143,1.0,93.32999999999994,8,0.003371508846281177
217,217,40.94658923485714,-73.83454160628571,0,1,0.0,0.0,0.0,24.5,0,0.00542869143460966
218,218,40.760506968768475,-73.83017150034483,10,30,4.166666666666667,242.0,2.0,31.599999999999998,10,0.025028464961747043
219,219,40.71541333571429,-73.94192619360248,10,0,3.0,45.0,1.0,34.0,10,0.003106895203011272
220,220,40.722703191978944,-74.00180272785262,18,1,4.0,268.0,2.5,73.79999999999984,62,0.0011124599345353693
221,221,40.922274826949156,-74.10887869305084,0,1,0.0,0.0,0.0,45.44333333333333,0,0.011368696882405651
222,222,40.705519212173904,-73.71263273195652,0,1,0.0,0.0,0.0,34.06666666666667,0,0.002313665950339487
223,223,40.794893711190475,-74.17426014333333,0,1,0.0,0.0,0.0,47.080000000000005,0,0.002694677307104665
224,224,40.70671979373737,-73.83233195979798,14,3,0.0,0.0,0.0,34.06666666666667,4,0.00339503596596395
225,225,40.781080127222225,-73.77663453777778,0,0,0.0,0.0,0.0,41.266666666666666,0,0.0007643521325423431
226,226,40.72385498931817,-73.80868034090909,0,0,0.0,0.0,0.0,34.06666666666667,0,0.0031621424306336127
227,227,40.88274467981481,-74.01584066425926,0,0,0.0,0.0,0.0,44.60999999999999,0,0.0010980613930494547
228,228,40.71010927190476,-73.88060136460318,1,1,0.0,0.0,0.0,34.199999999999996,1,0.004535004941860435
229,229,40.71924304279412,-73.7442139625,0,1,0.0,0.0,0.0,34.06666666666667,0,0.011461243738428759
230,230,40.661856794848475,-74.17363568454545,0,0,0.0,0.0,0.0,18.86,0,0.00014751964340514818
231,231,40.7994231911236,-73.9370540335955,9,0,3.611111111111111,19.22222222222222,1.3333333333333333,41.666666666666664,11,0.0008795737717464974
232,232,40.57768747906977,-73.98213779093024,18,1,0.0,0.0,0.0,31.166666666666668,8,0.0012413709862600828
233,233,40.82203268027523,-73.93869736981651,13,1,3.3,10.2,1.0,31.576666666666664,11,0.004333029351701887
234,234,40.70511136894737,-74.15360917105264,0,0,0.0,0.0,0.0,18.86,0,0.0
235,235,40.65238948417721,-74.00482089164556,10,1,0.0,0.0,0.0,21.0,7,0.0039263547343074
236,236,40.76096420891566,-73.78873702614456,0,1,0.0,0.0,0.0,41.266666666666666,0,0.003491360790650524
237,237,40.772253041328675,-74.03069083853147,0,0,3.625,15.5,1.0,52.75333333333333,0,0.002371164981137094
238,238,40.687963371176465,-74.04710274588236,0,0,0.0,0.0,0.0,83.66666666666667,0,0.0
239,239,40.6616186442029,-73.8421503804348,7,2,0.0,0.0,0.0,29.333333333333332,0,0.006016389723756075
240,240,40.94402418666667,-73.99111534555556,0,0,0.0,0.0,0.0,40.166666666666664,0,0.0018184867300756395
241,241,40.64207311215385,-74.07641058769231,3,0,0.0,0.0,0.0,30.0,3,0.001226295234445559
242,242,40.68325791861538,-73.74673551276923,0,6,0.0,0.0,0.0,34.06666666666667,0,0.014583746672945453
243,243,40.86945564648149,-73.86330852685184,6,2,0.0,0.0,0.0,33.11,4,0.009051095788447159
244,244,40.76303092422846,-73.98490340753507,30,2,3.4285714285714284,361.0952380952381,1.7142857142857142,52.0,87,0.0022737774791846115
245,245,40.84999714989011,-73.9107567854945,19,2,0.0,0.0,0.0,40.63333333333333,17,0.037244230603115325
246,246,40.57146953321429,-74.11118114089284,20,1,0.0,0.0,0.0,23.875,2,0.0044471247629589315
247,247,40.85681922291667,-74.130717994375,0,0,0.0,0.0,0.0,52.75333333333333,0,0.007576690586795712
