,Unnamed: 0,Unnamed: 0.1,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count,competitors_rank,half-mile_sub_count_rank,rent_rank,price_rank,unsupervised_score_rank,review_count_rank,rating_rank,S1,S1_rank,S2,S2_rank,S3,S3_rank,S4,S4_rank
32,220,220,220,40.722703191978944,-74.00180272785262,1,0.9803921568627452,0.8888888888888888,0.4085365853658537,0.7691785471826202,0.01717714078736327,0.0,0.6326530612244897,1,46,36,28,39,1,18,0.6161377300519935,46,0.700915804203555,6,0.5641680715203167,12,0.6944643711142995,7
33,231,231,231,40.7994231911236,-73.9370540335955,1,1.0,0.8024691358024691,0.029302168021680213,0.881049779216785,0.013581219458902994,0.4666666666666667,0.11224489795918366,29,12,14,34,32,4,9,0.4731078667431702,31,0.4966473385879843,12,0.40003411476216805,40,0.5146510840108401,9
34,233,233,233,40.82203268027523,-73.93869736981651,1,0.9803921568627452,0.7333333333333333,0.015548780487804878,0.9161778102714964,0.06690493104459244,0.6,0.11224489795918366,20,33,15,16,43,2,32,0.4707669849931927,5,0.51421135411534,40,0.4247500695011905,33,0.497970468675275,4
35,244,244,244,40.76303092422846,-73.98490340753507,1,0.9607843137254902,0.7619047619047619,0.5504500580720094,0.8450745904921052,0.03510867642653809,0.3142857142857143,0.8877551020408162,19,22,37,24,22,16,23,0.6735129171102868,32,0.8664148462664607,33,0.7001536122984763,16,0.7556171858987498,28
36,254,254,254,40.75142441114754,-73.99233945735885,1,0.8823529411764706,0.7222222222222222,0.22332317073170727,0.8590004699984328,0.08187296749898522,0.45,0.8673469387755102,13,14,31,17,6,33,27,0.6060197850672213,13,0.8631737043869715,9,0.7069135570093743,9,0.5528380559540889,1
37,256,256,256,40.757912256785715,-73.96816611193609,1,0.8823529411764706,0.7539682539682541,0.21265243902439024,0.782408132713631,0.051084249114889735,0.29999999999999993,0.3775510204081632,10,31,42,15,37,46,3,0.5100028394009664,24,0.579979576560897,13,0.47420051107169564,13,0.5475026901004304,2
38,261,261,261,40.77818807904136,-73.95144404099624,1,0.8431372549019608,0.7777777777777777,0.1879011553273428,0.8868522290110881,0.07364079659292375,0.3684210526315788,0.16326530612244894,32,5,19,35,10,9,34,0.4887624199555903,44,0.5250587675667685,18,0.43477517337199956,18,0.5155192051146518,46
39,264,264,264,40.74100429544643,-73.98396474363841,1,0.9215686274509804,0.7777777777777777,0.2137004573170732,0.8241857712326137,0.06509455832487464,0.3999999999999999,0.4591836734693877,24,45,43,25,46,32,16,0.5435851442621178,9,0.6416847223510007,45,0.5263666895457755,14,0.5676345423840268,33
40,265,265,265,40.76995200891247,-73.98453546912467,1,1.0,0.7777777777777777,0.6125,0.8265067511503349,0.06397799036154687,0.2799999999999999,0.3469387755102041,34,37,21,20,44,28,20,0.6046168824666439,41,0.5867227633302695,14,0.482173808736525,5,0.80625,14
41,273,273,273,40.84385316775,-73.94022344116667,1,1.0,0.7407407407407406,0.03150406504065041,0.866276742040489,0.007596921577541826,0.6,0.19387755102040816,30,13,34,21,8,14,28,0.4733326700699716,37,0.5300771465304486,5,0.4255811015398672,45,0.5157520325203252,32
42,275,275,275,40.872606969659095,-73.91062812886364,1,0.9607843137254902,0.0,0.0,0.8711856145664695,0.07553009890572443,1.0,0.061224489795918366,26,36,25,42,15,36,8,0.32812075283226705,33,0.4662050521811939,31,0.3880700615261001,31,0.4803921568627451,36
43,277,277,277,40.728690586025635,-73.98776317532969,1,0.9215686274509804,0.8279569892473119,0.6961054287962234,0.5719300688750775,0.08885269474878657,0.2645161290322581,0.42857142857142855,21,9,39,3,28,22,44,0.5891642062816347,14,0.500250748723253,24,0.4179711379283597,24,0.8088370281236019,22
44,292,292,292,40.71586148539759,-74.00939884419276,1,0.9411764705882352,0.5308641975308642,0.14803523035230354,0.7482897279231282,0.10110512071861676,0.42222222222222217,0.8163265306122448,41,24,20,19,20,41,2,0.5476328796208988,4,0.7823081292676866,37,0.6460675275578726,36,0.5446058504702693,41
45,293,293,293,40.73206888314236,-74.00073194265623,1,0.9411764705882352,0.8692810457516341,0.4141857962697274,0.5958013473288408,0.08545536862798588,0.3647058823529411,0.4693877551020408,42,18,35,10,45,44,46,0.562547963944744,36,0.5325945512154409,36,0.4431667146979499,4,0.6776811334289813,44
46,295,295,295,40.74429538027356,-73.97715336650454,1,0.9411764705882352,0.7654320987654321,0.10873983739837398,0.7336675544414841,0.056899812790375925,0.3999999999999999,0.19387755102040816,6,4,3,43,16,18,33,0.46663222083405154,18,0.46377255273094614,4,0.3823980047428321,37,0.5249581539933046,18
