address,price,zipcode
1723 E 12th St,$30.00 - $35.00 USD,11229
605 E 132nd St,NA,10454
925 Shepherd Ave,$16.00 - $25.00 USD,11208
211 61st St,$10.20 - $20.80 USD,11220
111-20 Jamaica Ave,$30.00 USD,11418
111 58th St,$22.00 USD,11220
1120 Avenue of the Americas,$126.36 - $144.00 USD,10036
23-10 30th Ave,$22.22 USD,11102
1240 Lexington Ave,NA,10028
50 Harrison St,$31.00 - $45.00 USD,07030
1069 Pacific St,NA,11238
381 5th Ave,NA,11215
470 Nepperhan Ave,$25.00 USD,10701
143 E 149th St,$18.00 - $54.00 USD,10451
587 Fifth Ave,NA,10017
54 W 47th St,$59.00 USD,10036
1120 Avenue of the Americas,NA,10036
105 Grove St,NA,07042
151 E 80th St,$205.63 USD,10075
260 Secaucus Rd,$9.50 USD,07094
305 E 47th St,NA,10017
535-551 Springfield Ave,NA,07103
5305-5309 13th Ave,NA,11219
40 Park St,$30.00 USD,11206
930 Sheridan Ave,$33.00 - $38.33 USD,10451
1847 Victory Blvd,$21.33 USD,10314
300 Route 17 S,$7.50 - $14.00 USD,07644
728 E 136th St,$16.00 - $20.00 USD,10454
31 South St,$17.00 - $20.00 USD,10550
325 W 38th St,$39.13 - $44.57 USD,10018
722 Mola Blvd,$25.00 USD,07407
2451 46th St,NA,11103
35 Meadow St,$31.86 - $40.00 USD,11206
690 E New York Ave,$30.00 - $35.00 USD,11203
299 Broadway,NA,10007
31-31 Thomson Ave,NA,11101
1247 Atlantic Ave,$120.00 USD,11216
465 Central Ave,$23.54 USD,07307
324-326 E 95th St,$55.00 USD,10128
22-14 37th Ave,$22.00 USD,11101
367 Bedford Ave,$38.18 USD,11211
327 E 94th St,$40.00 USD,10128
1565 62nd St,$36.00 USD,11219
418 E 75th St,$95.00 USD,10021
575 4th Ave,NA,11215
14 Penn Plaza,NA,10122
203 N 8th St,NA,11211
951 Dean St,NA,11238
17-10 Utopia Pky,$34.80 USD,11357
629 Throop Ave,$553.80 USD,11216
1047 Surf Ave,$75.00 USD,11224
1466 Richmond Rd,$159.96 USD,10304
11-33 Irving Ave,$20.00 USD,11385
1657-1659 Richmond Rd,NA,10304
2227 65th St,$23.00 USD,11204
238 W 72nd St,$113.51 USD,10023
591 Summit Ave,$25.00 USD,07306
703 New York Ave,$11.52 USD,07087
13 Main St,$35.17 USD,10701
256 W 38th St,NA,10018
25-10 38th Ave,NA,11101
8514 18th Ave,$45.00 USD,11214
440 Bay Ridge Pky,$25.09 USD,11209
1302 Avenue M,NA,11230
102-114 Jericho Tpke,$25.00 USD,11001
43-04 30th Ave,$97.00 USD,11103
118 Marcus Garvey Blvd,$34.00 USD,11206
2365 Flatbush Ave,$43.53 USD,11234
64 Willoughby St,$42.66 USD,11201
3137 College Point Blvd,$10.50 USD,11354
570 Clifton Ave,$16.36 USD,07011
36-13 36th Ave,$23.00 USD,11106
